Data,Preco_Real,Preco_Previsto,Erro_Abs,Erro_%,Sinal,Posicao,Capital_Acumulado
2023-03-15,34.59513473510742,25.46884,9.12629508972168,26.38028485681902,HOLD,0,1000.0
2023-03-16,35.321537017822266,25.63529,9.686246871948242,27.423061649499658,HOLD,0,1000.0
2023-03-17,34.322731018066406,25.930815,8.391916275024414,24.450024884695722,HOLD,0,1000.0
2023-03-20,33.68712615966797,26.296942,7.39018440246582,21.937711063384636,HOLD,0,1000.0
2023-03-21,33.5963249206543,26.65093,6.945394515991211,20.673078178623435,HOLD,0,1000.0
2023-03-22,32.597511291503906,27.02307,5.574441909790039,17.10082055019624,HOLD,0,1000.0
2023-03-23,28.239070892333984,27.206564,1.0325069427490234,3.6563063518825487,HOLD,0,1000.0
2023-03-24,29.32868194580078,27.16252,2.1661624908447266,7.3858160242174575,HOLD,0,1000.0
2023-03-27,30.327491760253906,27.112127,3.215364456176758,10.602144356661555,HOLD,0,1000.0
2023-03-28,30.690694808959947,27.05963,3.6310653686523295,11.831160523587311,HOLD,0,1000.0
2023-03-29,30.418291091918945,27.010565,3.407726287841797,11.20288538742766,HOLD,0,1000.0
2023-03-30,31.23550033569336,26.966116,4.269384384155273,13.668372007079945,HOLD,0,1000.0
2023-03-31,30.055089950561538,26.923704,3.1313858032226705,10.418820267627131,HOLD,0,1000.0
2023-04-03,30.055089950561538,26.923254,3.131835937500014,10.420317964949229,HOLD,0,1000.0
2023-04-04,29.23788070678711,26.952375,2.2855052947998047,7.816932142654447,HOLD,0,1000.0
2023-04-05,29.782686233520508,26.895536,2.8871498107910156,9.69405441857531,HOLD,0,1000.0
2023-04-06,30.599893569946303,26.769865,3.830028533935561,12.516476651073145,HOLD,0,1000.0
2023-04-10,30.418291091918945,26.738043,3.680248260498047,12.098800190243947,HOLD,0,1000.0
2023-04-11,34.322731018066406,26.809217,7.513513565063477,21.89078008130705,HOLD,0,1000.0
2023-04-12,35.230739593505874,26.627111,8.60362815856935,24.420799159593198,HOLD,0,1000.0
2023-04-13,35.049137115478516,26.685843,8.36329460144043,23.861627673986312,HOLD,0,1000.0
2023-04-14,33.95952606201172,26.872381,7.08714485168457,20.869386806939254,HOLD,0,1000.0
2023-04-17,33.23311996459961,27.088789,6.144330978393555,18.48857701274687,HOLD,0,1000.0
2023-04-18,32.14350891113283,27.292143,4.8513660430908345,15.09283275980668,HOLD,0,1000.0
2023-04-19,29.510284423828125,27.407736,2.102548599243164,7.124799507338729,BUY,1,1000.0000000000001
2023-04-20,29.96428871154785,27.36904,2.5952491760253906,8.66114060309803,SELL,0,1015.3846124015377
2023-04-24,30.781496047973633,27.276411,3.505084991455078,11.386987123667826,HOLD,0,1015.3846124015377
2023-04-25,29.782686233520508,27.185026,2.5976600646972656,8.722047582711296,HOLD,0,1015.3846124015377
2023-04-26,28.239070892333984,27.142187,1.096883773803711,3.884277134987044,HOLD,0,1015.3846124015377
2023-04-27,29.05627822875978,27.025534,2.030744552612319,6.9890043612065105,HOLD,0,1015.3846124015377
2023-04-28,30.327491760253906,26.89984,3.427652359008789,11.302129388428172,HOLD,0,1015.3846124015377
2023-05-02,29.419483184814453,26.803625,2.6158580780029297,8.891584062065256,HOLD,0,1015.3846124015377
2023-05-03,30.327491760253906,26.813421,3.514070510864258,11.58707927000303,HOLD,0,1015.3846124015377
2023-05-04,32.41591262817383,26.763266,5.652647018432617,17.437877141610073,HOLD,0,1015.3846124015377
2023-05-05,34.59513473510742,26.642935,7.952199935913086,22.986469041969446,HOLD,0,1015.3846124015377
2023-05-08,35.13993835449219,26.61971,8.520227432250977,24.24656340116139,HOLD,0,1015.3846124015377
2023-05-09,37.59156036376953,26.758726,10.832834243774414,28.81719763411316,HOLD,0,1015.3846124015377
2023-05-10,38.95357513427733,26.931746,12.021829605102525,30.861941589859043,BUY,1,1015.3846124015377
2023-05-11,39.498382568359375,27.31787,12.180513381958008,30.838005482572207,SELL,0,1029.5858528109727
2023-05-12,39.13517761230469,27.793196,11.341981887817383,28.981552096626473,BUY,1,1029.5858528109727
2023-05-15,39.77078628540039,28.400679,11.370107650756836,28.58909444023422,SELL,0,1046.3077316338129
2023-05-16,30.690694808959947,28.982489,1.7082061767577983,5.565876521828039,BUY,1,1046.3077316338129
2023-05-17,30.50909423828125,29.199293,1.3098011016845703,4.293149745629285,HOLD,1,1040.1166016397542
2023-05-18,32.14350891113283,29.261106,2.8824024200439595,8.967292363795561,HOLD,1,1095.837096713104
2023-05-19,33.051517486572266,29.152472,3.899045944213867,11.796874215527078,SELL,0,1126.7929417594908
2023-05-22,34.50433349609375,29.09381,5.410524368286133,15.680709696649147,BUY,1,1126.7929417594908
2023-05-23,33.23311996459961,29.117598,4.115522384643555,12.383797816838946,SELL,0,1085.279476938647
2023-05-24,32.960716247558594,29.22653,3.7341861724853516,11.329202146090935,BUY,1,1085.279476938647
2023-05-25,34.14112854003906,29.32128,4.819849014282227,14.117427338788,HOLD,1,1124.1462668995612
2023-05-26,34.68593597412111,29.395948,5.289987564086928,15.251102256642993,SELL,0,1142.0848433143449
2023-05-29,34.41353225708008,29.569304,4.844228744506836,14.076522887330775,BUY,1,1142.0848433143449
2023-05-30,33.86872863769531,29.920424,3.948305130004883,11.657671512388827,HOLD,1,1124.0043989230508
2023-05-31,34.50433349609375,30.24684,4.25749397277832,12.339012354086808,HOLD,1,1145.0982718126747
2023-06-01,36.86515808105469,30.472128,6.393030166625977,17.341659440520367,SELL,0,1223.44715957188
2023-06-05,35.321537017822266,30.589277,4.732259750366211,13.397660888818185,BUY,1,1223.44715957188
2023-06-06,36.229549407958984,30.82179,5.407758712768555,14.926375848275294,HOLD,1,1254.8983724397772
2023-06-07,35.230739593505874,30.963598,4.2671413421631,12.111983430940143,HOLD,1,1220.3021704163882
2023-06-09,36.04794692993164,31.012388,5.035558700561523,13.96905823887672,HOLD,1,1248.6081298661977
2023-06-12,35.95714569091797,30.995825,4.961320877075195,13.797871832547381,HOLD,1,1245.463008579408
2023-06-13,34.14112854003906,30.972616,3.1685123443603516,9.280631542816382,SELL,0,1182.5608471062096
2023-06-14,34.59513473510742,30.877478,3.7176570892333984,10.74618473869012,BUY,1,1182.5608471062096
2023-06-15,34.05032730102539,30.726477,3.323850631713867,9.76158203217557,HOLD,1,1163.9377677139505
2023-06-16,33.68712615966797,30.613684,3.0734424591064453,9.123492590430986,HOLD,1,1151.522511849729
2023-06-19,33.86872863769531,30.546873,3.3218555450439453,9.808031416174202,HOLD,1,1157.730204980482
2023-06-20,33.41472244262695,30.584234,2.8304882049560547,8.470781733458956,SELL,0,1142.2109721535994
2023-06-21,34.14112854003906,30.603933,3.5371952056884766,10.360510495545643,BUY,1,1142.2109721535994
2023-06-22,32.41591262817383,30.558645,1.8572673797607422,5.7294927989981215,SELL,0,1084.4928875989115
2023-06-23,32.506710052490234,30.29775,2.2089595794677734,6.7953957072273825,HOLD,0,1084.4928875989115
2023-06-26,30.872297286987305,30.103842,0.7684555053710938,2.4891426064849353,HOLD,0,1084.4928875989115
2023-06-27,30.690694808959947,29.90994,0.7807540893554545,2.5439440006666727,HOLD,0,1084.4928875989115
2023-06-28,30.418291091918945,29.641645,0.7766456604003906,2.553219239218595,HOLD,0,1084.4928875989115
2023-06-29,31.32630157470703,29.395964,1.930337905883789,6.162035761803273,HOLD,0,1084.4928875989115
2023-06-30,30.599893569946303,29.1715,1.4283943176269673,4.6679715220639375,HOLD,0,1084.4928875989115
2023-07-03,31.23550033569336,28.996588,2.238912582397461,7.167846067248732,HOLD,0,1084.4928875989115
2023-07-04,30.599893569946303,28.850225,1.7496681213379048,5.717889565002742,HOLD,0,1084.4928875989115
2023-07-05,30.963098526000977,28.758017,2.2050819396972656,7.121644940817433,HOLD,0,1084.4928875989115
2023-07-06,28.602275848388658,28.451887,0.15038871765135298,0.5257928370753242,HOLD,0,1084.4928875989115
2023-07-07,28.874679565429688,28.128294,0.7463855743408203,2.5849137915089906,HOLD,0,1084.4928875989115
2023-07-10,27.694265365600586,27.869383,0.17511749267578125,0.6323240221901572,HOLD,0,1084.4928875989115
2023-07-11,27.785066604614258,27.67967,0.10539627075195312,0.3793270401390724,HOLD,0,1084.4928875989115
2023-07-12,27.058660507202134,27.467443,0.4087829589843892,1.510728732767775,BUY,1,1084.4928875989115
2023-07-13,27.421863555908203,27.35327,0.06859397888183594,0.25014338920469525,SELL,0,1099.0498211533688
2023-07-14,26.786256790161133,27.249197,0.4629402160644531,1.7282751363546094,BUY,1,1099.0498211533688
2023-07-17,26.877058029174805,27.228796,0.35173797607421875,1.308692252300867,SELL,0,1102.7754288887181
2023-07-18,26.877058029174805,27.244673,0.36761474609375,1.3677640822693744,HOLD,0,1102.7754288887181
2023-07-19,26.695457458496094,27.29251,0.5970516204833984,2.2365288978907563,BUY,1,1102.7754288887181
2023-07-20,26.33225440979004,27.28382,0.9515647888183594,3.6136852318447072,SELL,0,1087.7717003167982
2023-07-21,27.421863555908203,27.256376,0.16548728942871094,0.6034866634476259,HOLD,0,1087.7717003167982
2023-07-24,27.331064224243164,27.125677,0.20538711547851562,0.7514786610333798,HOLD,0,1087.7717003167982
2023-07-25,27.87586784362793,27.04463,0.83123779296875,2.981926150718068,HOLD,0,1087.7717003167982
2023-07-26,28.057470321655273,26.875792,1.1816787719726562,4.211636895364065,HOLD,0,1087.7717003167982
2023-07-27,28.783878326416016,26.841963,1.941915512084961,6.74653877445971,HOLD,0,1087.7717003167982
2023-07-28,28.783878326416016,26.748495,2.0353832244873047,7.071261215759654,HOLD,0,1087.7717003167982
2023-07-31,30.418291091918945,26.801596,3.6166954040527344,11.88987045039345,HOLD,0,1087.7717003167982
2023-08-01,31.144699096679688,26.855055,4.289644241333008,13.773272389041393,HOLD,0,1087.7717003167982
2023-08-02,30.236690521240234,27.049871,3.186819076538086,10.539576327969675,HOLD,0,1087.7717003167982
2023-08-03,28.693077087402344,27.238607,1.4544696807861328,5.069061350079862,HOLD,0,1087.7717003167982
2023-08-04,27.785066604614258,27.371183,0.4138832092285156,1.489588688478372,HOLD,0,1087.7717003167982
2023-08-07,27.331064224243164,27.450102,0.11903762817382812,0.43553967455185855,HOLD,0,1087.7717003167982
2023-08-08,27.14946174621582,27.499037,0.3495750427246094,1.28759474494309,HOLD,0,1087.7717003167982
