Data,Preço_Real,Preço_Previsto,Erro_Absoluto,Erro_Percentual,Sinal,Posição,Capital_Acumulado
2023-01-16,15.323317527770996,14.205734,1.1175832748413086,7.293350626036904,HOLD,0,1000.0
2023-01-17,16.2226619720459,14.201673,2.020989418029785,12.457816241947565,BUY,1,1000.0
2023-01-18,16.455028533935547,14.718663,1.7363653182983398,10.552186614063887,SELL,0,1014.3235778622553
2023-01-19,16.82939910888672,14.806629,2.0227699279785156,12.019264115677174,BUY,1,1014.3235778622553
2023-01-20,17.242494583129883,15.198845,2.043649673461914,11.852401423755865,SELL,0,1039.2212273102248
2023-01-23,17.113401412963867,15.376175,1.7372264862060547,10.15126358743656,BUY,1,1039.2212273102248
2023-01-24,17.027341842651367,15.729762,1.2975797653198242,7.620565660281446,SELL,0,1033.9952099847503
2023-01-25,17.492076873779297,15.68899,1.8030872344970703,10.308022583641318,BUY,1,1033.9952099847503
2023-01-26,17.48347282409668,15.702044,1.7814292907714844,10.18921874786925,SELL,0,1033.486605647913
2023-01-27,17.289827346801758,15.857897,1.4319305419921875,8.281925049165187,HOLD,0,1033.486605647913
2023-01-30,17.56092643737793,15.806975,1.753951072692871,9.987804908513462,BUY,1,1033.486605647913
2023-01-31,17.513587951660156,15.842037,1.6715507507324219,9.544307855969464,SELL,0,1030.7006654473525
2023-02-01,17.302738189697266,16.033913,1.2688255310058594,7.3330909656910155,BUY,1,1030.7006654473525
2023-02-02,16.975704193115234,16.035099,0.9406051635742188,5.540890397676086,HOLD,1,1011.219693464449
2023-02-03,16.868127822875977,15.903817,0.9643106460571289,5.7167615528106435,HOLD,1,1004.8115148758119
2023-02-06,16.962793350219727,15.7186575,1.244135856628418,7.334498693355256,HOLD,1,1010.4506120498202
2023-02-07,16.73042869567871,15.621917,1.1085119247436523,6.625723374500075,SELL,0,996.6089644772715
2023-02-08,17.126312255859375,15.476504,1.6498079299926758,9.63317674783275,BUY,1,996.6089644772715
2023-02-09,17.035947799682617,15.60699,1.4289579391479492,8.387898084394054,HOLD,1,991.3505045268487
2023-02-10,17.371583938598633,15.604608,1.7669763565063477,10.171647920833692,HOLD,1,1010.881736928138
2023-02-13,17.470558166503906,15.711628,1.7589302062988281,10.067968003856935,HOLD,1,1016.6412140011353
2023-02-14,17.87935447692871,15.77468,2.1046743392944336,11.771534268814225,SELL,0,1040.429760042342
2023-02-15,18.04287338256836,15.970433,2.0724401473999023,11.486197921236508,BUY,1,1040.429760042342
2023-02-16,18.245115280151367,16.120794,2.1243209838867188,11.643231359561433,SELL,0,1052.0918985782187
2023-02-17,18.425844192504883,16.251354,2.174489974975586,11.801304473529129,BUY,1,1052.0918985782187
2023-02-22,17.969717025756836,16.445683,1.5240345001220703,8.48112687549615,HOLD,1,1026.0476266391202
2023-02-23,18.11602210998535,16.292675,1.8233470916748047,10.06483145474743,SELL,0,1034.4014579333323
2023-02-24,17.767900466918945,16.203009,1.5648918151855469,8.807409846195002,HOLD,0,1034.4014579333323
2023-02-27,17.526487350463867,16.033869,1.4926185607910156,8.51635887411011,HOLD,0,1034.4014579333323
2023-02-28,17.688892364501953,15.780948,1.907944679260254,10.78611729861116,BUY,1,1034.4014579333323
2023-03-01,17.118284225463867,15.732536,1.3857479095458984,8.095133199649556,SELL,0,1001.0337445249953
2023-03-02,16.42916488647461,15.814546,0.614619255065918,3.741025543981887,HOLD,0,1001.0337445249953
2023-03-03,16.61351203918457,15.410078,1.2034339904785156,7.2437061329362535,HOLD,0,1001.0337445249953
2023-03-06,16.990989685058594,15.249742,1.7412481307983398,10.248067729271506,HOLD,0,1001.0337445249953
2023-03-07,17.381637573242188,15.316855,2.06478214263916,11.87910019374554,BUY,1,1001.0337445249953
2023-03-08,17.557218551635742,15.470263,2.086956024169922,11.886598199095083,HOLD,1,1011.1457079995553
2023-03-09,17.17534828186035,15.650506,1.5248422622680664,8.87808641341218,HOLD,1,989.1532447195418
2023-03-10,16.850536346435547,15.575504,1.2750320434570312,7.566714894073644,SELL,0,970.4468537587013
2023-03-13,16.745197296142578,15.426947,1.3182506561279297,7.872410416039719,HOLD,0,970.4468537587013
2023-03-14,16.617616653442383,15.34334,1.2742767333984375,7.6682280014834,HOLD,0,970.4468537587013
2023-03-15,16.635339736938477,15.14376,1.4915800094604492,8.966333318389779,HOLD,0,970.4468537587013
2023-03-16,16.812549591064453,14.924622,1.8879280090332031,11.229278455402152,BUY,1,970.4468537587013
2023-03-17,16.524585723876953,15.043351,1.4812345504760742,8.963822604858326,SELL,0,953.8251256029181
2023-03-20,16.43155288696289,15.107597,1.3239555358886719,8.057397526554679,HOLD,0,953.8251256029181
2023-03-21,16.62647819519043,15.243052,1.3834266662597656,8.320623586178051,HOLD,0,953.8251256029181
2023-03-22,16.666351318359375,15.306186,1.3601655960083008,8.161147992302102,HOLD,0,953.8251256029181
