Data,Preço_Real,Preço_Previsto,Sinal,Posição,Capital_Acumulado
2023-01-23,15.640067100524902,15.409761,HOLD,0,1000.0
2023-01-24,15.529141426086426,15.7148905,BUY,1,999.9999999999999
2023-01-25,15.727635383605957,16.00622,HOLD,1,1012.7820303823167
2023-01-26,15.324812889099121,16.123995,HOLD,1,986.8422515204821
2023-01-27,14.957016944885254,16.1484,HOLD,1,963.1580094801573
2023-01-30,15.032909393310547,16.002039,HOLD,1,963.1580094801573
2023-01-31,15.219724655151367,15.847618,HOLD,1,963.1580094801573
2023-02-01,15.009560585021973,15.743242,HOLD,1,963.1580094801573
2023-02-02,14.314834594726562,15.7077875,HOLD,1,963.1580094801573
2023-02-03,14.472461700439453,15.548642,HOLD,1,963.1580094801573
2023-02-06,15.050427436828613,15.344275,HOLD,1,963.1580094801573
2023-02-07,14.957016944885254,15.273084,HOLD,1,963.1580094801573
2023-02-08,15.208051681518555,15.367772,HOLD,1,963.1580094801573
2023-02-09,15.137995719909668,15.501161,HOLD,1,963.1580094801573
2023-02-10,15.599199295043945,15.63417,HOLD,1,963.1580094801573
2023-02-13,15.645903587341309,15.775152,HOLD,1,963.1580094801573
2023-02-14,15.587525367736816,15.931948,HOLD,1,963.1580094801573
2023-02-15,15.610873222351074,16.065678,HOLD,1,963.1580094801573
2023-02-16,15.675091743469238,16.100801,HOLD,1,963.1580094801573
2023-02-17,15.435735702514648,16.108555,HOLD,1,963.1580094801573
2023-02-22,15.038747787475586,16.066113,HOLD,1,963.1580094801573
2023-02-23,15.49995231628418,15.899876,HOLD,1,963.1580094801573
2023-02-24,15.12048053741455,15.793668,HOLD,1,963.1580094801573
2023-02-27,15.266429901123047,15.757573,HOLD,1,963.1580094801573
2023-02-28,14.735173225402832,15.726327,SELL,0,963.1580094801573
2023-03-01,14.770197868347168,15.67969,BUY,1,963.1580094801574
2023-03-02,14.384891510009766,15.449406,HOLD,1,938.0323538563015
2023-03-03,15.003722190856934,15.242696,HOLD,1,978.3860263042053
2023-03-06,15.155508041381836,15.115244,HOLD,1,988.283913858719
2023-03-07,14.653437614440918,15.182827,HOLD,1,955.5441254454862
2023-03-08,14.840255737304688,15.228168,HOLD,1,967.7264518405776
2023-03-09,14.776036262512207,15.263165,HOLD,1,963.5387285573614
2023-03-10,14.583380699157715,15.315207,HOLD,1,950.9757452737424
2023-03-13,14.122179985046387,15.281841,SELL,0,920.9010525896151
2023-03-14,13.871143341064453,15.089643,HOLD,0,920.9010525896151
2023-03-15,13.625946998596191,14.84194,BUY,1,920.9010525896152
2023-03-16,13.579241752624512,14.47185,SELL,0,917.7445079339515
2023-03-17,13.725193977355957,14.190222,HOLD,0,917.7445079339515
2023-03-20,13.386588096618652,14.01298,HOLD,0,917.7445079339515
2023-03-21,13.66097640991211,13.93654,HOLD,0,917.7445079339515
2023-03-22,13.620109558105469,13.923674,HOLD,0,917.7445079339515
2023-03-23,13.310693740844727,13.935916,BUY,1,917.7445079339515
2023-03-24,13.304858207702637,13.910214,SELL,0,917.3421601227637
2023-03-27,13.532539367675781,13.811703,HOLD,0,917.3421601227637
2023-03-28,13.77189826965332,13.773538,HOLD,0,917.3421601227637
2023-03-29,13.952875137329102,13.809532,HOLD,0,917.3421601227637
2023-03-30,13.993741989135742,13.924231,HOLD,0,917.3421601227637
2023-03-31,13.690165519714355,14.076217,BUY,1,917.3421601227637
2023-04-03,14.297321319580078,14.142046,SELL,0,958.0260811592062
2023-04-04,14.16888427734375,14.234843,HOLD,0,958.0260811592062
2023-04-05,14.215590476989746,14.353934,HOLD,0,958.0260811592062
2023-04-06,14.01125717163086,14.371861,HOLD,0,958.0260811592062
2023-04-10,14.308996200561523,14.3793335,HOLD,0,958.0260811592062
2023-04-11,14.980367660522461,14.395376,HOLD,0,958.0260811592062
2023-04-12,15.091294288635254,14.554696,HOLD,0,958.0260811592062
2023-04-13,15.19637393951416,14.832041,HOLD,0,958.0260811592062
2023-04-14,15.35400390625,15.097738,HOLD,0,958.0260811592062
2023-04-17,15.59335994720459,15.293757,BUY,1,958.0260811592062
2023-04-18,15.990347862243652,15.480567,SELL,0,982.4162560669955
2023-04-19,15.476601600646973,15.703832,BUY,1,982.4162560669955
2023-04-20,15.581686019897461,15.853896,HOLD,1,989.0867541772992
2023-04-24,15.87942123413086,15.886961,HOLD,1,1007.9862465861657
2023-04-25,15.815204620361328,15.911874,HOLD,1,1003.9099353322711
2023-04-26,15.61671257019043,15.973286,HOLD,1,991.3101526526028
2023-04-27,15.23724365234375,16.007292,HOLD,1,967.2224076046755
2023-04-28,15.585894584655762,15.956935,HOLD,1,989.3539034223306
2023-05-02,14.954567909240723,15.909516,HOLD,1,949.2788530449571
2023-05-03,14.901956558227539,15.808575,HOLD,1,949.2788530449571
2023-05-04,15.138704299926758,15.603808,HOLD,1,949.2788530449571
2023-05-05,15.783184051513672,15.492597,HOLD,1,949.2788530449571
2023-05-08,16.11857795715332,15.585027,HOLD,1,949.2788530449571
2023-05-09,16.171186447143555,15.885556,HOLD,1,949.2788530449571
2023-05-10,16.131731033325195,16.171247,HOLD,1,949.2788530449571
2023-05-11,16.723596572875977,16.376112,SELL,0,949.2788530449571
2023-05-12,17.262855529785156,16.512075,BUY,1,949.2788530449573
2023-05-15,16.874855041503906,16.850061,HOLD,1,927.9428314429105
2023-05-16,17.29574203491211,17.106993,SELL,0,951.0872713459565
2023-05-17,16.874855041503906,17.387573,BUY,1,951.0872713459565
2023-05-18,16.973499298095703,17.540974,HOLD,1,956.6469811393202
