Data,Preço_Real,Preço_Previsto,Erro_Absoluto,Erro_Percentual,Sinal,Posição,Capital_Acumulado
2023-03-15,65.2729263305664,65.8866,0.6136703491210938,0.9401606203669168,HOLD,0,1000.0
2023-03-16,65.51334381103516,65.57914,0.0657958984375,0.10043129324505225,HOLD,0,1000.0
2023-03-17,66.29871368408203,65.15509,1.1436233520507812,1.7249555662576288,HOLD,0,1000.0
2023-03-20,66.84364318847656,65.333305,1.5103378295898438,2.2595085449355294,HOLD,0,1000.0
2023-03-21,66.28268432617188,65.70513,0.5775527954101562,0.8713479263574547,HOLD,0,1000.0
2023-03-22,65.45724487304688,65.84654,0.3892974853515625,0.5947355195083415,HOLD,0,1000.0
2023-03-23,63.77434158325195,65.699715,1.9253730773925781,3.0190403061694777,BUY,1,1000.0
2023-03-24,63.04507827758789,65.088264,2.0431861877441406,3.240833770953505,SELL,0,988.564941831472
2023-03-27,62.94089889526367,64.070496,1.1295967102050781,1.7946942767448792,HOLD,0,988.564941831472
2023-03-28,63.60605239868164,63.24483,0.3612213134765625,0.5679039963248049,HOLD,0,988.564941831472
2023-03-29,64.5196304321289,62.83741,1.682220458984375,2.6073002088162585,HOLD,0,988.564941831472
2023-03-30,65.56945037841797,63.004692,2.56475830078125,3.9115141060042102,HOLD,0,988.564941831472
2023-03-31,64.34332275390625,63.64079,0.7025337219238281,1.091851791072101,HOLD,0,988.564941831472
2023-04-03,64.35934448242188,64.061455,0.29788970947265625,0.4628538588580828,HOLD,0,988.564941831472
2023-04-04,62.54019546508789,64.042336,1.5021400451660156,2.4018793577397153,HOLD,0,988.564941831472
2023-04-05,61.618614196777344,63.63623,2.0176162719726562,3.274361649110534,BUY,1,988.5649418314719
2023-04-06,61.50641632080078,62.70497,1.1985549926757812,1.9486666015858307,SELL,0,986.764919416424
2023-04-10,62.69247055053711,61.829453,0.8630180358886719,1.376589610060084,HOLD,0,986.764919416424
