Data,Preço_Real,Preço_Previsto,Erro_Absoluto,Erro_Percentual,Sinal,Posição,Capital_Acumulado
2023-03-15,34.59513473510742,32.18059,2.4145431518554688,6.97942982544644,HOLD,0,1000.0
2023-03-16,35.321537017822266,32.71378,2.607757568359375,7.382910791915916,HOLD,0,1000.0
2023-03-17,34.322731018066406,33.398518,0.9242134094238281,2.6927152415038047,HOLD,0,1000.0
2023-03-20,33.68712615966797,34.028027,0.3409004211425781,1.0119605321237595,HOLD,0,1000.0
2023-03-21,33.5963249206543,34.47955,0.8832244873046875,2.628931853084026,HOLD,0,1000.0
2023-03-22,32.597511291503906,34.915653,2.3181419372558594,7.111407728417755,BUY,1,1000.0
2023-03-23,28.239070892334,34.89819,6.659118652343736,23.581224317657963,SELL,0,866.2953021108121
2023-03-24,29.32868194580078,34.422253,5.093570709228516,17.367199516982733,BUY,1,866.2953021108121
2023-03-27,30.327491760253906,34.247074,3.9195823669433594,12.924189042498464,HOLD,1,895.7976251801515
2023-03-28,30.69069480895996,34.199444,3.508749008178711,11.432615097245543,HOLD,1,906.5257272949289
2023-03-29,30.418291091918945,34.15417,3.735879898071289,12.281688957417398,HOLD,1,898.4796084551444
2023-03-30,31.23550033569336,33.986233,2.750732421875,8.806429838844904,SELL,0,922.6179086362293
2023-03-31,30.055089950561523,33.94044,3.8853511810302734,12.927431551266022,HOLD,0,922.6179086362293
2023-04-03,30.055089950561523,33.92915,3.8740596771240234,12.889862194711693,HOLD,0,922.6179086362293
2023-04-04,29.237880706787095,34.001324,4.763442993164077,16.292025543624035,HOLD,0,922.6179086362293
2023-04-05,29.782686233520508,33.817272,4.034585952758789,13.54674968243076,BUY,1,922.6179086362293
2023-04-06,30.59989356994629,33.692257,3.0923633575439453,10.10579775539191,HOLD,1,947.9336279015635
2023-04-10,30.418291091918945,33.82259,3.404298782348633,11.191617477988542,HOLD,1,942.3078862486105
2023-04-11,34.322731018066406,34.01083,0.3119010925292969,0.9087304048303206,SELL,0,1063.2609181817595
2023-04-12,35.23073959350586,33.79765,1.4330902099609375,4.067726725285953,HOLD,0,1063.2609181817595
2023-04-13,35.049137115478516,34.05942,0.989715576171875,2.823794414427377,HOLD,0,1063.2609181817595
2023-04-14,33.95952606201173,34.412777,0.4532508850097514,1.3346796541921506,HOLD,0,1063.2609181817595
2023-04-17,33.23311996459961,34.6673,1.4341812133789062,4.315517817486341,BUY,1,1063.2609181817595
2023-04-18,32.14350891113281,34.79411,2.6506004333496094,8.246145250282808,SELL,0,1028.399886463877
