Data,Preço_Real,Preço_Previsto,Sinal,Posição,Capital_Acumulado
2023-04-11,14.980369567871094,13.645725,HOLD,0,868.52055947377
2023-04-12,15.091291427612305,13.756486,HOLD,0,868.52055947377
2023-04-13,15.196375846862793,13.913109,HOLD,0,868.52055947377
2023-04-14,15.354004859924316,14.085817,HOLD,0,868.52055947377
2023-04-17,15.59335994720459,14.25938,BUY,1,868.52055947377
2023-04-18,15.99034595489502,14.45507,SELL,0,890.6319267910083
2023-04-19,15.476600646972656,14.681053,BUY,1,890.6319267910083
2023-04-20,15.581686019897461,14.879646,HOLD,1,896.6792746744648
2023-04-24,15.879426002502441,15.032373,SELL,0,913.8133172487342
2023-04-25,15.815207481384277,15.179145,BUY,1,913.8133172487342
2023-04-26,15.616713523864746,15.323826,HOLD,1,902.3442029808209
2023-04-27,15.237241744995117,15.4417,HOLD,1,880.418068564987
2023-04-28,15.585897445678711,15.509508,HOLD,1,880.418068564987
2023-05-02,14.954566955566406,15.567035,HOLD,1,880.418068564987
2023-05-03,14.901959419250488,15.570964,HOLD,1,880.418068564987
2023-05-04,15.138704299926758,15.514398,HOLD,1,880.418068564987
2023-05-05,15.783182144165039,15.467749,HOLD,1,880.418068564987
2023-05-08,16.11857795715332,15.480567,HOLD,1,880.418068564987
2023-05-09,16.171188354492188,15.57362,HOLD,1,880.418068564987
2023-05-10,16.131731033325195,15.685503,HOLD,1,880.418068564987
2023-05-11,16.723600387573242,15.809979,SELL,0,880.418068564987
2023-05-12,17.262859344482422,15.944727,BUY,1,880.418068564987
2023-05-15,16.874855041503906,16.189985,SELL,0,860.6295739589394
2023-05-16,17.295740127563477,16.405088,BUY,1,860.6295739589394
2023-05-17,16.874855041503906,16.659096,HOLD,1,839.6864891513771
2023-05-18,16.973499298095703,16.85757,HOLD,1,844.5949905452435
2023-05-19,16.947195053100586,16.98077,HOLD,1,843.2861011310587
2023-05-22,16.84855079650879,17.104322,HOLD,1,838.3775997371923
2023-05-23,17.262859344482422,17.195492,HOLD,1,858.9934384639694
2023-05-24,17.525909423828125,17.286058,SELL,0,872.0827122416421
2023-05-25,17.394384384155273,17.404907,HOLD,0,872.0827122416421
2023-05-26,17.624553680419922,17.515135,HOLD,0,872.0827122416421
2023-05-29,17.552217483520508,17.624166,HOLD,0,872.0827122416421
2023-05-30,17.35492515563965,17.714458,BUY,1,872.0827122416421
2023-05-31,17.1773624420166,17.783922,HOLD,1,863.160209176911
2023-06-01,17.72977638244629,17.815193,HOLD,1,890.9189372111524
2023-06-02,17.87445640563965,17.87621,HOLD,1,898.1890893957411
2023-06-05,18.065168380737305,17.979925,HOLD,1,907.772341124492
2023-06-06,18.446598052978516,18.07045,SELL,0,926.9391321140494
2023-06-07,18.985855102539062,18.17047,BUY,1,926.9391321140494
2023-06-09,19.913116455078125,18.324371,SELL,0,972.2104579892011
2023-06-12,20.261661529541016,18.509296,BUY,1,972.2104579892011
2023-06-13,20.22212791442871,18.70061,SELL,0,970.3135259928658
2023-06-14,21.090988159179688,18.872402,BUY,1,970.3135259928658
2023-06-15,20.593496322631836,19.032192,SELL,0,947.4258805952123
2023-06-16,20.76866912841797,19.187326,BUY,1,947.4258805952123
2023-06-19,21.315214157104492,19.2768,SELL,0,972.3581909847952
2023-06-20,21.420318603515625,19.375376,BUY,1,972.3581909847952
2023-06-21,22.317211151123047,19.46204,SELL,0,1013.0719091717956
2023-06-22,22.03693199157715,19.565977,HOLD,0,1013.0719091717956
2023-06-23,21.133033752441406,19.638935,BUY,1,1013.0719091717955
2023-06-26,21.609506607055664,19.667387,SELL,0,1035.912986801591
2023-06-27,21.44133949279785,19.693321,HOLD,0,1035.912986801591
2023-06-28,21.644540786743164,19.724123,HOLD,0,1035.912986801591
2023-06-29,21.742637634277344,19.744886,HOLD,0,1035.912986801591
2023-06-30,20.691593170166016,19.764093,BUY,1,1035.912986801591
2023-07-03,21.07697296142578,19.752842,HOLD,1,1055.2068095311276
2023-07-04,21.126028060913086,19.74252,HOLD,1,1057.6627255260842
2023-07-05,21.09799575805664,19.739727,HOLD,1,1056.2593040331071
2023-07-06,20.77567481994629,19.733566,HOLD,1,1040.1224873578205
2023-07-07,20.67057228088379,19.711132,HOLD,1,1034.8605877899492
2023-07-10,20.70560646057129,19.704132,HOLD,1,1036.6145543125729
2023-07-11,20.425329208374023,19.676737,SELL,0,1022.5826311509074
2023-07-12,20.439340591430664,19.659185,HOLD,0,1022.5826311509074
2023-07-13,20.76166343688965,19.644217,HOLD,0,1022.5826311509074
2023-07-14,20.355257034301758,19.62793,HOLD,0,1022.5826311509074
2023-07-17,20.313217163085938,19.613432,HOLD,0,1022.5826311509074
2023-07-18,20.20110511779785,19.571722,HOLD,0,1022.5826311509074
2023-07-19,20.39029312133789,19.566212,BUY,1,1022.5826311509074
2023-07-20,20.41131591796875,19.548996,HOLD,1,1023.6369341256125
2023-07-21,20.79669952392578,19.546024,HOLD,1,1042.9641002157146
2023-07-24,21.231128692626953,19.553669,HOLD,1,1064.750923962464
2023-07-25,21.721616744995117,19.582691,SELL,0,1089.349126654011
2023-07-26,21.721616744995117,19.621708,BUY,1,1089.349126654011
2023-07-27,20.593496322631836,19.658337,SELL,0,1032.773365683311
2023-07-28,20.852750778198242,19.659044,BUY,1,1032.773365683311
2023-07-31,21.798696517944336,19.646418,HOLD,1,1079.6231830423126
2023-08-01,21.44133949279785,19.684805,HOLD,1,1061.9243757464915
2023-08-02,21.392292022705078,19.70236,HOLD,1,1059.4952036288769
2023-08-03,21.66556167602539,19.706959,HOLD,1,1073.0294189753627
2023-08-04,21.020923614501953,19.735344,HOLD,1,1041.1024551168011
2023-08-07,21.154052734375,19.735834,HOLD,1,1047.6959357882095
2023-08-08,21.175073623657227,19.730333,HOLD,1,1048.7370365429529
2023-08-09,21.34324073791504,19.722437,HOLD,1,1057.0658425809013
2023-08-10,21.462358474731445,19.728966,HOLD,1,1062.9653820360545
2023-08-11,21.413311004638672,19.731415,HOLD,1,1060.53620991844
2023-08-14,21.469364166259766,19.739195,HOLD,1,1063.312352644182
2023-08-15,21.623519897460938,19.739277,HOLD,1,1070.9472174658756
2023-08-16,22.099994659423828,19.775759,SELL,0,1094.5455642168497
2023-08-17,22.029926300048828,19.786867,BUY,1,1094.5455642168497
2023-08-18,22.085981369018555,19.810862,HOLD,1,1097.3306315047303
2023-08-21,21.931827545166016,19.815708,HOLD,1,1089.6715780060133
2023-08-22,22.265928268432617,19.825315,HOLD,1,1106.2712007043558
2023-08-23,23.451601028442383,19.837027,SELL,0,1165.1807423163293
2023-08-24,23.415231704711914,19.882812,BUY,1,1165.1807423163293
2023-08-25,23.25520133972168,19.924425,SELL,0,1157.2173660908038
2023-08-28,23.51706886291504,19.946608,HOLD,0,1157.2173660908038
2023-08-29,23.5679874420166,19.963726,HOLD,0,1157.2173660908038
2023-08-30,23.728015899658203,19.980602,HOLD,0,1157.2173660908038
