Data,Preço_Real,Preço_Previsto,Sinal,Posição,Capital_Acumulado
2023-02-13,37.50075912475586,43.5301,HOLD,0,1000.0
2023-02-14,36.86515808105469,40.20944,BUY,1,1000.0
2023-02-15,35.321537017822266,46.22125,SELL,0,958.1279141720078
2023-02-16,34.59513473510742,49.638294,BUY,1,958.1279141720078
2023-02-17,33.23311996459961,49.68443,SELL,0,920.4062986578525
2023-02-22,31.9619083404541,51.350178,BUY,1,920.4062986578525
2023-02-23,32.32510757446289,48.528545,HOLD,1,930.8653381835459
2023-02-24,32.77911376953125,51.397907,HOLD,1,943.9393435626836
2023-02-27,33.14231872558594,44.75873,HOLD,1,954.3985478659938
2023-02-28,32.597511291503906,48.016453,HOLD,1,938.7097414110285
2023-03-01,29.32868194580078,46.137943,SELL,0,844.5773420882151
2023-03-02,28.602275848388672,53.101177,HOLD,0,844.5773420882151
2023-03-03,27.421863555908203,48.68909,BUY,1,844.5773420882151
2023-03-06,28.965478897094712,47.02834,SELL,0,892.1197908137692
2023-03-07,29.23788070678711,46.91527,HOLD,0,892.1197908137692
2023-03-08,31.144699096679688,46.486843,BUY,1,892.1197908137692
2023-03-09,30.78149604797362,48.58296,HOLD,1,881.7160740583515
2023-03-10,30.872297286987305,46.88834,HOLD,1,884.3170169058983
2023-03-13,33.777927398681655,55.33224,SELL,0,967.5469148535491
2023-03-14,33.86872863769531,46.611233,HOLD,0,967.5469148535491
2023-03-15,34.59513473510742,51.497936,BUY,1,967.5469148535491
2023-03-16,35.321537017822266,54.263203,SELL,0,987.8627278418444
2023-03-17,34.322731018066406,53.43021,HOLD,0,987.8627278418444
2023-03-20,33.68712615966797,56.169743,HOLD,0,987.8627278418444
2023-03-21,33.5963249206543,56.178783,HOLD,0,987.8627278418444
2023-03-22,32.597511291503906,55.710194,HOLD,0,987.8627278418444
2023-03-23,28.239070892333984,54.52651,HOLD,0,987.8627278418444
2023-03-24,29.32868194580078,52.01566,BUY,1,987.8627278418444
2023-03-27,30.327491760253906,49.836338,HOLD,1,1021.5051189225026
2023-03-28,30.69069480895996,46.642277,HOLD,1,1033.7386981579516
2023-03-29,30.418291091918945,57.236202,HOLD,1,1024.5634655481915
2023-03-30,31.23550033569336,51.094517,SELL,0,1052.0890991332408
2023-03-31,30.055089950561523,51.51305,HOLD,0,1052.0890991332408
2023-04-03,30.055089950561523,52.762806,HOLD,0,1052.0890991332408
2023-04-04,29.23788070678711,54.217724,BUY,1,1052.0890991332408
2023-04-05,29.782686233520508,55.258923,SELL,0,1071.6932544949766
2023-04-06,30.59989356994629,54.536068,HOLD,0,1071.6932544949766
2023-04-10,30.418291091918945,45.675854,HOLD,0,1071.6932544949766
2023-04-11,34.322731018066406,50.395275,BUY,1,1071.6932544949766
2023-04-12,35.23073959350586,46.369083,SELL,0,1100.044922222403
2023-04-13,35.049137115478516,44.77875,BUY,1,1100.044922222403
2023-04-14,33.95952606201172,43.37051,SELL,0,1065.8466164948074
2023-04-17,33.23311996459961,50.7758,HOLD,0,1065.8466164948074
2023-04-18,32.14350891113281,49.137493,HOLD,0,1065.8466164948074
2023-04-19,29.510284423828125,58.080708,BUY,1,1065.8466164948074
2023-04-20,29.96428871154785,46.293087,HOLD,1,1082.2442535690702
2023-04-24,30.78149604797362,49.543056,HOLD,1,1111.7599865248953
2023-04-25,29.782686233520508,44.00813,SELL,0,1075.685171183669
2023-04-26,28.239070892333984,50.491848,BUY,1,1075.685171183669
2023-04-27,29.056278228759766,47.784946,SELL,0,1106.8143048909096
2023-04-28,30.327491760253906,43.40968,HOLD,0,1106.8143048909096
2023-05-02,29.419483184814453,48.10779,HOLD,0,1106.8143048909096
2023-05-03,30.327491760253906,50.167606,BUY,1,1106.8143048909096
2023-05-04,32.41591262817383,48.323383,SELL,0,1183.032084769291
2023-05-05,34.59513473510742,51.639896,BUY,1,1183.032084769291
2023-05-08,35.13993835449219,36.335224,SELL,0,1201.6624548073228
2023-05-09,37.59156036376953,46.500362,BUY,1,1201.6624548073228
2023-05-10,38.95357513427736,48.67867,HOLD,1,1245.2010043321163
2023-05-11,39.49838256835936,49.734592,SELL,0,1262.6164729187108
2023-05-12,39.13517761230469,48.62087,BUY,1,1262.6164729187108
2023-05-15,39.770786285400376,52.86935,SELL,0,1283.123086915227
2023-05-16,30.69069480895996,46.719044,BUY,1,1283.123086915227
2023-05-17,30.50909423828125,47.611874,HOLD,1,1275.5306916864683
2023-05-18,32.14350891113281,40.012287,HOLD,1,1343.8626474594796
2023-05-19,33.051517486572266,38.864155,HOLD,1,1381.8248628317829
2023-05-22,34.50433349609375,42.819256,HOLD,1,1381.8248628317829
2023-05-23,33.23311996459961,48.122868,HOLD,1,1381.8248628317829
2023-05-24,32.960716247558594,47.393322,HOLD,1,1381.8248628317829
2023-05-25,34.14112854003906,41.6592,HOLD,1,1381.8248628317829
2023-05-26,34.68593597412111,48.602383,HOLD,1,1381.8248628317829
2023-05-29,34.41353225708008,37.953403,HOLD,1,1381.8248628317829
2023-05-30,33.86872863769531,46.997753,HOLD,1,1381.8248628317829
2023-05-31,34.50433349609375,42.143894,HOLD,1,1381.8248628317829
2023-06-01,36.86515808105469,42.579388,HOLD,1,1381.8248628317829
2023-06-05,35.321537017822266,35.75857,SELL,0,1381.8248628317829
2023-06-06,36.229549407958984,38.958668,BUY,1,1381.8248628317829
2023-06-07,35.23073959350586,34.94978,SELL,0,1343.7294336198336
2023-06-09,36.04794692993164,42.350986,BUY,1,1343.7294336198336
2023-06-12,35.95714569091797,32.055264,HOLD,1,1340.3447111082025
2023-06-13,34.14112854003906,39.078938,HOLD,1,1272.650545270197
2023-06-14,34.59513473510742,35.074055,HOLD,1,1272.650545270197
2023-06-15,34.05032730102539,35.301685,HOLD,1,1272.650545270197
2023-06-16,33.68712615966797,32.89529,SELL,0,1272.650545270197
2023-06-19,33.86872863769531,33.74364,HOLD,0,1272.650545270197
2023-06-20,33.41472244262695,39.515163,BUY,1,1272.650545270197
2023-06-21,34.14112854003906,41.68276,HOLD,1,1300.3168267288088
2023-06-22,32.41591262817383,50.246655,SELL,0,1234.6093537813992
2023-06-23,32.506710052490234,47.94559,BUY,1,1234.6093537813992
2023-06-26,30.872297286987305,42.39162,SELL,0,1172.5341303899427
2023-06-27,30.69069480895996,45.015606,BUY,1,1172.5341303899427
2023-06-28,30.418291091918945,45.248318,SELL,0,1162.1269806833668
2023-06-29,31.32630157470703,42.257404,HOLD,0,1162.1269806833668
2023-06-30,30.59989356994629,42.368565,BUY,1,1162.1269806833668
2023-07-03,31.23550033569336,41.404713,SELL,0,1186.266142144537
2023-07-04,30.59989356994629,41.066944,HOLD,0,1186.266142144537
2023-07-05,30.963098526000977,38.398373,BUY,1,1186.266142144537
2023-07-06,28.602275848388672,42.22111,SELL,0,1095.8177005033772
2023-07-07,28.874679565429688,39.53954,BUY,1,1095.8177005033772
2023-07-10,27.694265365600586,39.750813,SELL,0,1051.0200163882284
2023-07-11,27.785066604614272,41.22015,BUY,1,1051.0200163882284
2023-07-12,27.05866050720215,44.337315,SELL,0,1023.5424019102486
2023-07-13,27.421863555908203,48.894108,BUY,1,1023.5424019102487
2023-07-14,26.786256790161133,41.198124,SELL,0,999.8178846338511
2023-07-17,26.87705802917482,41.798046,BUY,1,999.8178846338511
2023-07-18,26.87705802917482,41.71345,SELL,0,999.8178846338511
2023-07-19,26.695457458496094,42.66644,BUY,1,999.8178846338511
2023-07-20,26.33225440979004,39.080402,SELL,0,986.2149372254978
2023-07-21,27.421863555908203,36.51965,BUY,1,986.2149372254978
2023-07-24,27.331064224243164,36.744,HOLD,1,982.9493802732659
2023-07-25,27.87586784362793,35.95982,HOLD,1,1002.5429963743862
2023-07-26,28.05747032165526,41.54188,HOLD,1,1009.0742474727144
2023-07-27,28.783878326416016,40.414448,HOLD,1,1035.199183269095
2023-07-28,28.783878326416016,39.266285,SELL,0,1035.199183269095
2023-07-31,30.418291091918945,37.588276,BUY,1,1035.199183269095
2023-08-01,31.144699096679688,44.0936,SELL,0,1059.920393641371
2023-08-02,30.236690521240234,37.20367,BUY,1,1059.920393641371
2023-08-03,28.693077087402344,40.79253,SELL,0,1005.8103925063507
2023-08-04,27.785066604614272,39.949787,HOLD,0,1005.8103925063507
2023-08-07,27.331064224243164,38.04639,BUY,1,1005.8103925063507
2023-08-08,27.149461746215806,40.241917,HOLD,1,999.1272403902766
2023-08-09,26.967859268188477,42.610607,HOLD,1,992.4440882742025
2023-08-10,25.878250122070312,45.560368,SELL,0,952.3453861547474
2023-08-11,26.150651931762695,45.376545,BUY,1,952.3453861547474
2023-08-14,25.78744888305664,39.13447,SELL,0,939.1183833031503
2023-08-15,25.15184211730957,39.076992,BUY,1,939.1183833031503
2023-08-16,26.967859268188477,38.39037,SELL,0,1006.9247524283164
2023-08-17,25.605846405029297,34.85149,BUY,1,1006.9247524283165
2023-08-18,27.240262985229492,33.126972,SELL,0,1071.1965786492055
2023-08-21,27.694265365600586,37.14436,HOLD,0,1071.1965786492055
2023-08-22,27.603466033935547,36.99116,HOLD,0,1071.1965786492055
2023-08-23,27.785066604614272,42.858433,HOLD,0,1071.1965786492055
2023-08-24,27.421863555908203,38.37061,HOLD,0,1071.1965786492055
2023-08-25,26.51385498046875,40.258923,HOLD,0,1071.1965786492055
2023-08-28,26.604654312133803,37.44002,HOLD,0,1071.1965786492055
2023-08-29,26.604654312133803,37.143772,HOLD,0,1071.1965786492055
2023-08-30,26.51385498046875,33.76125,HOLD,0,1071.1965786492055
