Data,Preço_Real,Preço_Previsto,Erro_Absoluto,Erro_Percentual
2023-08-21,21.931825637817383,18.374301956355076,3.557523681462307,16.220827851777255
2023-08-22,22.26593017578125,18.37507205526086,3.8908581205203916,17.47449170011543
2023-08-23,23.45160675048828,18.373499432232208,5.078107318256073,21.653558207265874
2023-08-24,23.41523170471191,18.37021869508923,5.045013009622682,21.545859862695533
2023-08-25,23.255199432373047,18.370306706392746,4.8848927259803006,21.005593782094813
2023-08-28,23.51706886291504,18.370742130736467,5.146326732178572,21.883368042919713
2023-08-29,23.567991256713864,18.369596825747266,5.198394430966598,22.05701102967662
2023-08-30,23.728015899658207,18.370208272698022,5.357807626960184,22.580091186795613
2023-08-31,23.233379364013672,18.37072707617139,4.86265228784228,20.929595353545828
2023-09-01,23.735292434692386,18.37467484635156,5.360617588340826,22.58500754979344
2023-09-04,23.487972259521484,18.375314086345533,5.1126581731759515,21.76713305297522
2023-09-05,24.27356719970703,18.37756300675911,5.89600419294792,24.289813460211494
2023-09-06,24.38268280029297,18.37785946588675,6.004823334406218,24.627410296023978
2023-09-08,24.295396804809574,18.37973665434731,5.915660150462262,24.348892911644825
2023-09-11,24.27356719970703,18.38163237150335,5.891934828203681,24.273048867225388
2023-09-12,24.389957427978512,18.3828008373619,6.007156590616614,24.629631307702116
2023-09-13,24.0262508392334,18.38324900018376,5.643001839049639,23.48681813408425
2023-09-14,24.63727378845215,18.386091996896084,6.251181791556064,25.37286326901187
2023-09-15,24.65182113647461,18.38492237299407,6.26689876348054,25.421646249931996
2023-09-18,24.826400756835938,18.38553613603176,6.440864620804177,25.943610126533095
2023-09-19,24.884593963623047,18.385990089070958,6.498603874552089,26.114968498388674
2023-09-20,24.942787170410156,18.386126738200105,6.556660432210052,26.28679941585788
2023-09-21,24.557262420654297,18.385877758854626,6.171384661799671,25.13058889092265
2023-09-22,24.753658294677734,18.388038667964686,6.365619626713048,25.71587419901371
2023-09-25,24.913686752319336,18.387208350798602,6.526478401520734,26.19635731316704
2023-09-26,24.339038848876957,18.385861546246083,5.953177302630873,24.45937713315069
2023-09-27,25.110090255737305,18.388823821435544,6.721266434301761,26.76719345031444
2023-09-28,25.05916976928711,18.385838385376736,6.673331383910373,26.630297194000846
2023-09-29,25.19738006591797,18.384857522559898,6.812522543358071,27.03663049704403
2023-10-02,24.819128036499023,18.384078159306377,6.435049877192647,25.927783875925293
2023-10-03,24.710018157958988,18.385612566900605,6.324405591058383,25.594499974178774
2023-10-04,23.728015899658207,18.386474151240307,5.3415417484178995,22.511539822825398
2023-10-05,23.808029174804684,18.392329219011188,5.415699955793496,22.74736777256963
2023-10-06,24.37540435791016,18.393088895525764,5.9823154623843955,24.54242553085299
2023-10-09,25.422874450683594,18.391090112501132,7.031784338182462,27.659281218664024
2023-10-10,25.61199951171875,18.387224563407145,7.224774948311605,28.20855491975906
2023-10-11,25.54653167724609,18.386161479504125,7.160370197741965,28.02873708339672
2023-10-13,26.39032745361328,18.386679124934027,8.003648328679255,30.327961419756537
2023-10-16,26.681287765502933,18.38439430517296,8.296893460329972,31.096300648041748
2023-10-17,27.40142059326172,18.383661263658134,9.017759329603585,32.90982414182256
2023-10-18,28.019718170166016,18.38234225214883,9.637375918017185,34.394978063264666
2023-10-19,27.888784408569336,18.382319091279484,9.506465317289852,34.08705513306208
2023-10-20,27.53235626220703,18.384881841472712,9.14747442073432,33.22445174549345
2023-10-23,25.713838577270504,18.389864902512684,7.32397367475782,28.482615120839156
2023-10-24,26.099363327026367,18.401669997618768,7.697693329407599,29.493797350361024
2023-10-25,26.237571716308597,18.406184051054467,7.83138766525413,29.847989554560577
2023-10-26,25.968427658081055,18.4101827751472,7.558244882933856,29.10551606146945
2023-10-27,25.7793025970459,18.41561052487863,7.363692072167268,28.56435717935631
2023-10-30,25.517440795898438,18.420339974399255,7.097100821499183,27.812745322955507
2023-10-31,25.27012062072754,18.423825685235954,6.846294935491585,27.092450559480064
2023-11-01,25.54653167724609,18.426029441954306,7.120502235291784,27.872676906798695
2023-11-03,25.85204315185547,18.425467790872645,7.426575360982824,28.72722793072469
2023-11-06,25.83022117614746,18.42370988088922,7.406511295258241,28.673820656625566
2023-11-07,25.40105438232422,18.422953678505046,6.978100703819173,27.471697035832538
2023-11-08,24.855493545532227,18.423808314583944,6.431685230948283,25.876312691865166
2023-11-09,25.371957778930664,18.425140064571387,6.946817714359277,27.379904124418967
2023-11-10,25.255571365356445,18.422130309599765,6.83344105575668,27.057162781635753
2023-11-13,25.961151123046875,18.42089583526358,7.540255287783296,29.04437962725572
2023-11-14,26.31758689880371,18.41678709704145,7.900799801762261,30.020988748483617
2023-11-16,25.85931396484375,18.414719989452244,7.444593975391506,28.788830150376683
2023-11-17,26.703109741210938,18.41695617138768,8.286153569823256,31.030668900091534
2023-11-20,26.724937438964844,18.414188447500734,8.31074899146411,31.09735620689264
2023-11-21,26.448516845703125,18.413407926203746,8.035108919499379,30.3801871627625
2023-11-22,26.577970504760742,18.413660379679627,8.164310125081116,30.718335410970134
2023-11-23,26.585527420043945,18.412911125556256,8.172616294487689,30.740846947899968
2023-11-24,26.66111946105957,18.411816774479618,8.249302686579952,30.9413214948781
2023-11-27,26.50993537902832,18.41188509904419,8.098050279984129,30.547227536399035
2023-11-28,26.910568237304684,18.4129840822947,8.497584155009985,31.577126428828944
2023-11-29,26.630880355834964,18.412410850778365,8.2184695050566,30.860675258359944
2023-11-30,27.144901275634766,18.41483926792938,8.730062007705385,32.16096429697271
