Experimento,RMSE,MAE,MAPE,R²,Melhor Estratégia,ROI Melhor Estratégia (%),ROI Buy & Hold (%)
5 anos,0.8432381130183663,0.6641803418013101,5.352838807758189,0.8672668202471501,mean_reversion,-21.812448844528063,-11.15867497138977
10 anos,0.753660827121323,0.6029464093486607,4.073743743754062,0.9212943789556083,always_in,0.40902899856607444,-3.486288796806325
